2.494,0.16,-0.04,0.35
2.495,0.17,-0.07,0.2
2.505,0.17,-0.07,0.05
2.507,0.16,-0.06,-0.06
2.51,0.12,-0.05,-0.15
2.515,0.07,-0.05,-0.22
2.524,0.01,-0.06,-0.26
2.525,-0.05,-0.07,-0.29
2.531,-0.11,-0.07,-0.32
2.543,-0.2,-0.07,-0.33
2.545,-0.38,-0.08,-0.27
2.546,-0.47,-0.08,-0.2
2.557,-0.57,-0.08,-0.12
2.558,-0.65,-0.08,-0.07
2.56,-0.7,-0.05,-0.03
2.568,-0.72,0,0.02
2.574,-0.7,0.07,0.04
2.576,-0.67,0.16,0.02
2.58,-0.62,0.22,0.01
2.604,-0.59,0.3,0
2.606,-0.55,0.37,0.01
2.607,-0.51,0.44,0.02
2.608,-0.46,0.52,0.06
2.609,-0.42,0.59,0.09
2.61,-0.4,0.67,0.12
2.617,-0.39,0.76,0.18
2.623,-0.42,0.83,0.22
2.626,-0.47,0.87,0.27
2.631,-0.53,0.89,0.35
2.637,-0.59,0.92,0.43
2.641,-0.64,0.95,0.53
2.646,-0.68,0.98,0.65
2.655,-0.73,1,0.77
2.656,-0.77,0.98,0.94
2.661,-0.78,0.96,1.17
2.666,-0.74,0.95,1.38
2.673,-0.71,0.93,1.58
2.676,-0.67,0.96,1.72
2.681,-0.62,0.99,1.82
2.688,-0.55,1.04,1.89
2.691,-0.53,1.13,1.92
2.696,-0.52,1.24,1.89
2.704,-0.51,1.34,1.83
2.706,-0.52,1.42,1.86
2.711,-0.48,1.47,2.06
2.722,-0.39,1.54,2.41
2.723,-0.29,1.62,2.82
2.726,-0.19,1.69,3.18
2.731,-0.14,1.74,3.51
2.752,-0.14,1.69,3.81
2.753,-0.12,1.59,4.01
2.754,-0.07,1.43,4.01
2.758,0.04,1.25,4.01
2.76,0.17,1.05,4.01
2.761,0.29,0.93,4.01
2.772,0.42,0.86,4.01
2.773,0.57,0.87,3.91
2.777,0.71,0.9,3.7
2.782,0.83,0.91,3.55
2.788,0.92,0.88,3.44
2.792,0.97,0.82,3.33
2.797,0.95,0.71,3.24
